day,source,t0,width,n_rows,n_outside,seconds,peak_rss_mb
2013-11-01,zip,0,144,4842625,0,9.4,288
2013-11-02,zip,144,144,4745086,0,8.7,314
2013-11-03,zip,288,144,4722579,0,10.2,277
2013-11-04,zip,432,144,5639488,0,6.4,299
2013-11-05,zip,576,144,5874140,0,9.0,310
2013-11-06,zip,720,144,5912097,0,9.0,306
2013-11-07,zip,864,144,5886883,0,7.7,362
2013-11-08,zip,1008,144,5918856,0,8.6,363
2013-11-09,zip,1152,144,5052416,0,5.5,317
2013-11-10,zip,1296,144,4731582,0,7.1,356
2013-11-11,zip,1440,144,5478993,0,7.9,316
2013-11-12,zip,1584,144,5597591,0,10.5,317
2013-11-13,zip,1728,144,5689517,0,7.7,330
2013-11-14,zip,1872,144,5703373,0,9.3,319
2013-11-15,zip,2016,144,5708802,0,8.8,329
2013-11-16,zip,2160,144,4847779,0,5.6,330
2013-11-17,zip,2304,144,4611954,0,6.6,320
2013-11-18,zip,2448,144,5417835,0,6.0,332
2013-11-19,zip,2592,144,5577668,0,6.8,333
2013-11-20,zip,2736,144,5643712,0,7.0,334
2013-11-21,zip,2880,144,5616011,0,9.5,324
2013-11-22,zip,3024,144,5634579,0,7.2,327
2013-11-23,zip,3168,144,4779119,0,8.9,328
2013-11-24,zip,3312,144,4548405,0,5.5,329
2013-11-25,zip,3456,144,5365586,0,8.6,332
2013-11-26,zip,3600,144,5491322,0,6.0,336
2013-11-27,zip,3744,144,5448926,0,7.6,341
2013-11-28,zip,3888,144,5472300,0,5.8,338
2013-11-29,zip,4032,144,5482752,0,8.8,339
2013-11-30,zip,4176,144,4666027,0,5.1,329
2013-12-01,zip,4320,144,4438331,0,8.4,330
2013-12-02,zip,4464,144,5320367,0,7.7,343
2013-12-03,zip,4608,144,5545148,0,7.7,349
2013-12-04,zip,4752,144,5501001,0,7.3,350
2013-12-05,zip,4896,144,5523429,0,8.9,351
2013-12-06,zip,5040,144,5525307,0,5.9,352
2013-12-07,zip,5184,144,4590100,0,8.2,396
2013-12-08,zip,5328,144,4357172,0,4.8,342
2013-12-09,zip,5472,144,5252874,0,7.5,355
2013-12-10,zip,5616,144,5455708,0,5.8,356
2013-12-11,zip,5760,144,5483990,0,10.0,357
2013-12-12,zip,5904,144,5538445,0,7.6,358
2013-12-13,zip,6048,144,5467246,0,8.2,359
2013-12-14,zip,6192,144,4634809,0,6.0,360
2013-12-15,zip,6336,144,4412002,0,6.3,361
2013-12-16,zip,6480,144,5320759,0,5.7,362
2013-12-17,zip,6624,144,5476473,0,7.7,363
2013-12-18,zip,6768,144,5472133,0,5.8,364
2013-12-19,zip,6912,144,5572121,0,7.7,365
2013-12-20,zip,7056,144,5410674,0,7.0,366
2013-12-21,zip,7200,144,4705979,0,8.9,367
2013-12-22,zip,7344,144,4482939,0,6.7,362
2013-12-23,zip,7488,144,4986627,0,7.8,375
2013-12-24,zip,7632,144,5014066,0,6.6,370
2013-12-25,zip,7776,144,4907775,0,7.2,371
2013-12-26,zip,7920,144,4162680,0,4.6,361
2013-12-27,zip,8064,144,4547803,0,6.1,425
2013-12-28,zip,8208,144,4204331,0,5.1,363
2013-12-29,zip,8352,144,4071711,0,4.5,408
2013-12-30,zip,8496,144,4508084,0,6.8,365
2013-12-31,zip,8640,144,4968039,0,6.5,366
2014-01-01,zip,8784,144,4930163,0,8.2,379
