time,sq_5161,sq_5059,sq_5259,sq_4159,sq_4556,city_total,rows_in_interval
2013-11-01 00:00:00+01:00,379.97293,537.57056,827.3597,224.80853,1134.6389,642388.94,29098
2013-11-01 00:10:00+01:00,371.1227,646.56903,910.69366,183.50499,983.85626,630005.94,27619
2013-11-01 00:20:00+01:00,429.2979,569.7824,956.42175,204.4313,998.1107,619933.44,26114
2013-11-01 00:30:00+01:00,350.18423,800.5996,963.74457,212.37405,962.9543,590964.1,24602
2013-11-01 00:40:00+01:00,268.58682,517.0684,1111.377,195.768,935.78217,577130.56,24372
2013-11-01 00:50:00+01:00,326.72632,477.76135,1012.7862,211.8606,982.6596,563294.0,24596
2013-11-01 01:00:00+01:00,212.33276,379.63205,1245.492,218.11395,1101.1825,543777.9,24970
2013-11-01 01:10:00+01:00,231.64253,397.06033,1413.1166,261.68927,833.3837,532705.56,23447
2013-11-01 01:20:00+01:00,187.80208,476.52264,1266.9305,175.93375,886.5671,514801.47,21486
2013-11-01 01:30:00+01:00,234.2374,374.66138,1525.6466,204.93506,871.99164,511871.2,22658
2013-11-01 01:40:00+01:00,174.65265,434.91296,1521.975,175.95897,823.7918,504165.25,22044
2013-11-01 01:50:00+01:00,163.1665,448.42148,1688.742,188.50415,678.20026,480130.4,20682
2013-11-01 02:00:00+01:00,146.731,484.00494,1575.958,185.85257,656.96497,470034.22,20128
2013-11-01 02:10:00+01:00,160.21448,422.2342,1762.9115,210.17012,611.19904,463201.44,20553
2013-11-01 02:20:00+01:00,131.28262,288.67117,1648.0032,193.34804,559.6664,448567.53,20216
2013-11-01 02:30:00+01:00,140.67812,348.65747,1608.8467,181.34715,482.23218,439934.6,19158
2013-11-01 02:40:00+01:00,172.02359,323.89923,1589.5709,193.0342,471.77176,429165.5,19715
2013-11-01 02:50:00+01:00,166.28693,313.33118,1569.2546,179.21008,498.20413,417919.75,19251
2013-11-01 03:00:00+01:00,126.676216,332.44366,1389.656,178.50423,431.74332,410022.8,18490
2013-11-01 03:10:00+01:00,137.7911,292.03348,1268.3901,213.55557,385.02478,408882.44,19231
2013-11-01 03:20:00+01:00,160.20485,301.46262,1217.5215,206.8106,366.21338,393671.1,19162
2013-11-01 03:30:00+01:00,128.46297,272.7839,1211.9305,175.17155,366.9895,387084.56,19952
2013-11-01 03:40:00+01:00,125.33731,318.35785,1166.6083,197.03378,335.1529,391486.62,19358
