model,square,round,hypothesis,config,val_MAE,val_RMSE,val_MAPE_%,val_WAPE_%,train_s,epochs,best_epoch,n_params,converged
SARIMAX,5161,0,baseline configuration,"{""K_daily"": 6, ""K_weekly"": 3, ""p"": 2, ""q"": 0}",99.6089,151.3784,7.9224,5.8698,90.7,,,23,False
SARIMAX,5161,1,PACF is dominated by lags 1-3: find the smallest ARMA order that captures short-term dependence,"{""K_daily"": 6, ""K_weekly"": 3, ""p"": 1, ""q"": 0}",105.286,159.8065,8.5474,6.2043,53.9,,,22,False
SARIMAX,5161,1,PACF is dominated by lags 1-3: find the smallest ARMA order that captures short-term dependence,"{""K_daily"": 6, ""K_weekly"": 3, ""p"": 3, ""q"": 0}",98.0494,148.3176,7.6249,5.7779,95.7,,,24,False
SARIMAX,5161,1,PACF is dominated by lags 1-3: find the smallest ARMA order that captures short-term dependence,"{""K_daily"": 6, ""K_weekly"": 3, ""p"": 2, ""q"": 1}",105.4817,160.3651,8.5756,6.2159,92.2,,,24,False
SARIMAX,5161,2,Daily seasonality is very strong (strength 0.94) and non-sinusoidal: test how many daily harmonics are needed,"{""K_daily"": 4, ""K_weekly"": 3, ""p"": 3, ""q"": 0}",98.4116,147.8884,7.6154,5.7993,83.2,,,20,False
SARIMAX,5161,2,Daily seasonality is very strong (strength 0.94) and non-sinusoidal: test how many daily harmonics are needed,"{""K_daily"": 10, ""K_weekly"": 3, ""p"": 3, ""q"": 0}",100.0416,150.3546,7.6585,5.8953,127.0,,,32,False
SARIMAX,5161,3,Weekly strength 0.72 and ACF(1 week) > ACF(2-6 days): test how much weekly shape is needed,"{""K_daily"": 4, ""K_weekly"": 1, ""p"": 3, ""q"": 0}",98.0118,148.1519,7.5841,5.7757,65.4,,,16,False
SARIMAX,5161,3,Weekly strength 0.72 and ACF(1 week) > ACF(2-6 days): test how much weekly shape is needed,"{""K_daily"": 4, ""K_weekly"": 5, ""p"": 3, ""q"": 0}",98.0607,147.7979,7.6019,5.7786,94.6,,,24,False
LSTM,5161,0,baseline configuration,"{""L"": 144, ""batch"": 128, ""dropout"": 0.1, ""layers"": 1, ""lr"": 0.001, ""units"": 64}",171.0554,267.8133,10.6122,10.08,17.1,24.0,18.0,18241,
LSTM,5161,1,"PACF suggests short memory (6 h may suffice) but ACF peaks at 1 day: compare 6 h, 1 day, 2 days of context","{""L"": 36, ""batch"": 128, ""dropout"": 0.1, ""layers"": 1, ""lr"": 0.001, ""units"": 64}",156.7802,248.0484,10.1329,9.2388,10.8,22.0,16.0,18241,
LSTM,5161,1,"PACF suggests short memory (6 h may suffice) but ACF peaks at 1 day: compare 6 h, 1 day, 2 days of context","{""L"": 288, ""batch"": 128, ""dropout"": 0.1, ""layers"": 1, ""lr"": 0.001, ""units"": 64}",178.0109,278.4316,11.147,10.4899,9.7,13.0,7.0,18241,
LSTM,5161,2,Capacity: is the model under- or over-fitting?,"{""L"": 36, ""batch"": 128, ""dropout"": 0.1, ""layers"": 1, ""lr"": 0.001, ""units"": 32}",208.1956,318.0036,13.2497,12.2687,9.0,19.0,13.0,5025,
LSTM,5161,2,Capacity: is the model under- or over-fitting?,"{""L"": 36, ""batch"": 128, ""dropout"": 0.1, ""layers"": 1, ""lr"": 0.001, ""units"": 128}",148.8409,228.8643,10.2801,8.771,9.7,20.0,14.0,69249,
LSTM,5161,3,Does a second recurrent layer add useful non-linear structure?,"{""L"": 36, ""batch"": 128, ""dropout"": 0.1, ""layers"": 2, ""lr"": 0.001, ""units"": 128}",155.5822,241.7167,10.2233,9.1682,15.6,28.0,22.0,200833,
LSTM,5161,4,Optimisation: check sensitivity to the learning rate,"{""L"": 36, ""batch"": 128, ""dropout"": 0.1, ""layers"": 1, ""lr"": 0.0003, ""units"": 128}",174.3792,269.14,11.8687,10.2759,13.2,31.0,25.0,69249,
LSTM,5161,4,Optimisation: check sensitivity to the learning rate,"{""L"": 36, ""batch"": 128, ""dropout"": 0.1, ""layers"": 1, ""lr"": 0.003, ""units"": 128}",122.5923,188.4596,8.7636,7.2242,11.9,28.0,22.0,69249,
TCN,5161,0,baseline configuration,"{""L"": 288, ""batch"": 128, ""dropout"": 0.1, ""filters"": 32, ""kernel"": 3, ""levels"": 6, ""lr"": 0.001}",145.8883,230.4888,10.1836,8.597,43.2,23.0,17.0,37505,
TCN,5161,1,Receptive field 61 / 125 / 253 steps: must it cover a full daily cycle (144 steps)?,"{""L"": 288, ""batch"": 128, ""dropout"": 0.1, ""filters"": 32, ""kernel"": 3, ""levels"": 4, ""lr"": 0.001}",247.952,362.3014,16.5434,14.6114,20.6,13.0,7.0,25089,
TCN,5161,1,Receptive field 61 / 125 / 253 steps: must it cover a full daily cycle (144 steps)?,"{""L"": 288, ""batch"": 128, ""dropout"": 0.1, ""filters"": 32, ""kernel"": 3, ""levels"": 5, ""lr"": 0.001}",225.5908,341.8519,12.4954,13.2937,39.3,32.0,26.0,31297,
TCN,5161,2,Capacity (number of filters per layer),"{""L"": 288, ""batch"": 128, ""dropout"": 0.1, ""filters"": 16, ""kernel"": 3, ""levels"": 6, ""lr"": 0.001}",199.4952,327.2861,12.4025,11.756,41.7,31.0,25.0,9537,
