square,model,train_s,epochs,best_epoch,n_params,infer_total_s,infer_ms_per_step
5161,SARIMAX,88.36184970199997,,,24,0.1628022539999847,0.1615101726190324
5161,LSTM,13.165987761999986,33.0,27.0,69249,0.1222622049999699,0.1212918700396527
5161,TCN,39.694095445000016,26.0,20.0,37505,0.0848570679999056,0.0841835992062556
5059,SARIMAX,88.68332125200004,,,24,0.0695821980000346,0.0690299583333676
5059,LSTM,11.220550675000029,25.0,19.0,69249,0.0637612630000603,0.0632552212302186
5059,TCN,46.02911819199994,35.0,29.0,37505,0.1310489280000411,0.1300088571428979
5259,SARIMAX,89.974017119,,,24,0.1488030319999325,0.1476220555554886
5259,LSTM,20.25448597699983,50.0,44.0,69249,0.0644625879999694,0.0639509801586998
5259,TCN,57.78956276899999,48.0,42.0,37505,0.0990816270000323,0.0982952648809844
4159,SARIMAX,114.61968235799998,,,24,0.2659057189999885,0.2637953561507822
4159,LSTM,13.933653792999962,24.0,18.0,69249,0.0721736720000763,0.0716008650794407
4159,TCN,38.733666761,17.0,11.0,37505,0.0893235769999591,0.0886146597221817
4556,SARIMAX,107.84468581600004,,,24,0.17688178900004914,0.17547796527782653
4556,LSTM,16.051566967999975,36.0,30.0,69249,0.06925284600004034,0.06870322023813526
4556,TCN,42.04661744500004,27.0,21.0,37505,0.09833780799999658,0.09755734920634582
